"BASE_PRICE","PRICE","WEEK_END_DATE","STORE_NUM","UPC","MANUFACTURER","DISPLAY","FEATURE","TPR_ONLY","UNITS"
3.18,3.18,39883,"12011","1111087398","PRIVATE LABEL",0,0,0,13
6.49,6.49,40156,"6379","7218063052","TONYS",0,0,0,6
6.49,6.49,40163,"4489","7218063052","TONYS",0,0,0,5
5.27,5.27,40828,"6379","7192100336","TOMBSTONE",0,0,0,13
6.89,4.49,40457,"21227","7218063052","TONYS",1,1,0,48
6.89,6.89,40604,"15541","7218063983","TONYS",0,0,0,2
6.49,4.99,40303,"623","7218063983","TONYS",1,1,0,15
7.09,7.09,40695,"21227","7218063983","TONYS",0,0,0,5
3.27,3.27,40506,"24991","1111087395","PRIVATE LABEL",0,0,0,19
6.49,6.49,40205,"13837","7218063979","TONYS",0,0,0,1
3.74,3.24,40730,"2495","1111087396","PRIVATE LABEL",1,0,0,41
3.19,3.19,39953,"623","1111087396","PRIVATE LABEL",0,0,0,11
3.93,3.93,40765,"21237","1111087395","PRIVATE LABEL",0,0,0,5
6.79,5.27,40688,"10019","7192100336","TOMBSTONE",0,0,1,12
6.03,5.54,39911,"2277","7192100339","TOMBSTONE",1,1,0,42
5.99,5.99,40436,"4245","2066200530","KING",0,0,0,3
7.09,7.09,40660,"11757","7218063983","TONYS",0,0,0,2
6.59,6.59,40499,"2523","7192100337","TOMBSTONE",0,0,0,14
6.59,6.59,40366,"15763","7192100336","TOMBSTONE",0,0,0,1
5.17,5.17,40562,"23075","1111087395","PRIVATE LABEL",0,0,0,4
3.2,3.27,40667,"19521","1111087398","PRIVATE LABEL",1,1,0,5
6.38,6.38,40170,"21221","7218063983","TONYS",0,0,0,3
6.59,6.59,39932,"19521","7192100339","TOMBSTONE",1,0,0,4
5.49,4.3,40814,"4489","7192100339","TOMBSTONE",1,1,0,29
4,4,39890,"9825","1111087395","PRIVATE LABEL",0,0,0,8
3.97,3.29,39939,"25021","1111087395","PRIVATE LABEL",0,1,0,30
6.59,6.59,40275,"17627","7192100336","TOMBSTONE",0,0,0,4
6.59,5.64,40786,"26981","7192100339","TOMBSTONE",0,0,1,10
6.29,6.29,39939,"25001","7192100339","TOMBSTONE",0,0,0,10
7.05,7.05,40639,"24991","7192100339","TOMBSTONE",0,0,0,16
6.49,6.49,40317,"11967","7218063052","TONYS",0,0,0,1
6.42,5.29,39967,"24991","7192100336","TOMBSTONE",0,1,0,9
3.3,3.3,39827,"15765","1111087396","PRIVATE LABEL",0,0,0,17
6.38,6.38,40030,"6187","7218063052","TONYS",0,0,0,4
6.39,6.39,39855,"2495","7192100339","TOMBSTONE",0,0,0,10
6.49,6.49,40163,"10019","7218063983","TONYS",0,0,0,1
3.89,3.89,39953,"24991","1111087398","PRIVATE LABEL",0,0,0,13
6.29,6.29,40317,"21213","7218063979","TONYS",0,0,0,3
2.99,2.99,40555,"21485","1111087396","PRIVATE LABEL",1,0,0,19
7.29,7.29,40499,"17615","7218063052","TONYS",0,0,0,1
4.79,4.79,40359,"2281","1111087398","PRIVATE LABEL",0,0,0,9
4,4,39869,"23067","1111087396","PRIVATE LABEL",0,0,0,12
6.59,5.5,40506,"25229","7192100336","TOMBSTONE",0,1,0,14
5.99,5.99,40436,"27175","2066200532","KING",0,0,0,7
7.29,6.49,40114,"623","7218063983","TONYS",0,0,1,3
6.59,4.67,40814,"6187","7192100336","TOMBSTONE",1,1,0,77
6.29,6.29,39932,"23067","7192100336","TOMBSTONE",0,0,0,2
6.38,6.38,40156,"9825","7218063979","TONYS",0,0,0,8
5.99,5.99,40667,"23061","2066200531","KING",0,0,0,1
6.79,4.99,39855,"4521","7218063979","TONYS",0,1,0,3
3.29,3.29,40198,"13859","1111087395","PRIVATE LABEL",0,0,0,8
6.38,4.99,40107,"11757","7218063052","TONYS",1,1,0,48
7.29,7.29,40422,"6379","7218063979","TONYS",0,0,0,2
6.39,6.39,39876,"29159","7192100339","TOMBSTONE",0,0,0,7
3.3,3.3,40394,"4503","1111087398","PRIVATE LABEL",0,0,0,26
6.38,4.99,40100,"19265","7218063983","TONYS",1,1,0,9
2.99,2.99,40513,"15763","1111087398","PRIVATE LABEL",0,0,0,8
3.32,3.32,40520,"28909","1111087398","PRIVATE LABEL",0,0,0,37
3.97,3.97,40884,"23061","1111087398","PRIVATE LABEL",0,0,0,31
5.04,3.48,40625,"21237","1111087396","PRIVATE LABEL",0,0,1,8
4.81,2.97,40163,"23055","1111087395","PRIVATE LABEL",0,1,0,16
3.79,3.79,40800,"19521","1111087395","PRIVATE LABEL",0,0,0,4
6.29,6.29,40352,"4245","7218063983","TONYS",1,0,0,4
7.29,7.29,40044,"4503","7218063052","TONYS",0,0,0,3
4.62,3.7,40408,"11757","1111087396","PRIVATE LABEL",0,0,1,2
6.89,6.89,40065,"4259","7218063052","TONYS",0,0,0,1
6.99,4.47,40086,"21213","7192100337","TOMBSTONE",1,1,0,37
6.29,6.29,39918,"23075","7192100336","TOMBSTONE",0,0,0,5
3.89,3.89,40751,"24991","1111087398","PRIVATE LABEL",0,0,0,15
6.38,6.38,40037,"8041","7218063979","TONYS",0,0,0,1
6.49,6.49,40884,"23345","2066200530","KING",0,0,0,10
7.49,7.49,40730,"19265","7218063983","TONYS",0,0,0,4
6.38,4.99,40058,"21237","7218063979","TONYS",1,0,0,25
5.99,5.99,40534,"6179","2066200530","KING",0,0,0,4
3.89,3.89,40856,"23075","1111087396","PRIVATE LABEL",0,0,0,7
7.49,7.49,40037,"2279","7192100336","TOMBSTONE",0,0,0,5
6.99,6.99,40233,"25027","7192100337","TOMBSTONE",0,0,0,17
4.23,4.23,40373,"19265","1111087396","PRIVATE LABEL",0,0,0,8
6.59,4.77,40625,"13827","7192100339","TOMBSTONE",1,1,0,25
7.09,7.09,40688,"11757","7218063052","TONYS",0,0,0,1
3.49,3.49,40737,"11761","1111087398","PRIVATE LABEL",0,0,0,3
7.49,7.49,40793,"28909","7218063052","TONYS",0,0,0,3
3.09,3.09,40254,"29159","1111087396","PRIVATE LABEL",0,0,0,2
6.59,6.59,40653,"12011","7192100336","TOMBSTONE",0,0,0,4
3.32,3.32,40541,"4245","1111087396","PRIVATE LABEL",1,0,0,39
6.07,6.07,40198,"8263","7218063983","TONYS",0,0,0,15
4.71,4.71,40296,"21213","1111087398","PRIVATE LABEL",0,0,0,6
6.29,6.29,39869,"25001","7192100336","TOMBSTONE",0,0,0,6
4,4,40016,"2281","1111087395","PRIVATE LABEL",0,0,0,4
3.31,3.31,40688,"17599","1111087395","PRIVATE LABEL",0,0,0,14
6.29,6.29,39876,"26983","7192100336","TOMBSTONE",0,0,0,5
6.29,6.29,39939,"389","7192100337","TOMBSTONE",0,0,0,10
6.59,6.59,39946,"13859","7192100337","TOMBSTONE",0,0,0,5
6.99,4.47,40086,"9825","7192100337","TOMBSTONE",1,1,0,50
3.14,3.14,40037,"19523","1111087395","PRIVATE LABEL",0,0,0,12
3.2,3.2,40142,"10019","1111087398","PRIVATE LABEL",0,0,0,17
6.59,6.59,40275,"25233","7192100337","TOMBSTONE",1,0,0,10
6.99,6.99,40387,"23067","7192100337","TOMBSTONE",0,0,0,4
7.49,7.49,40807,"17599","7218063979","TONYS",0,0,0,1
3.96,3.96,40828,"2277","1111087398","PRIVATE LABEL",0,0,0,15
6.72,6.72,40660,"12011","7192100337","TOMBSTONE",0,0,0,9
7.29,7.29,40429,"2495","7218063052","TONYS",0,0,0,4
4.62,4.62,40296,"2279","1111087396","PRIVATE LABEL",0,0,0,6
3.3,3.3,40625,"13827","1111087398","PRIVATE LABEL",0,0,0,8
3.93,3.93,39862,"25001","1111087396","PRIVATE LABEL",0,0,0,24
7.09,4.68,40674,"21227","7218063979","TONYS",0,1,0,67
6.09,6.09,40821,"6179","2066200531","KING",0,0,0,14
2.89,2.89,40555,"12011","1111087396","PRIVATE LABEL",0,0,0,36
6.21,6.21,39918,"6187","7192100339","TOMBSTONE",0,0,0,10
6.51,6.51,39918,"19533","7192100339","TOMBSTONE",0,0,0,13
6.89,4.48,40478,"28909","7218063979","TONYS",1,1,0,44
3.82,3.82,40436,"13609","1111087396","PRIVATE LABEL",0,0,0,9
3.26,3.26,40520,"23061","1111087398","PRIVATE LABEL",0,0,0,21
6.49,4.49,40730,"367","2066200530","KING",0,1,0,1
4.55,4.55,40352,"6179","1111087396","PRIVATE LABEL",0,0,0,2
3.35,3.35,40898,"15763","1111087395","PRIVATE LABEL",0,0,0,7
6.38,6.38,40149,"11761","7218063052","TONYS",0,0,0,9
5.99,4.99,40527,"21485","2066200530","KING",0,0,1,2
5.99,5.49,39911,"6187","7192100339","TOMBSTONE",0,1,0,25
4.79,4.79,40331,"11761","1111087396","PRIVATE LABEL",0,0,0,4
7.29,4.49,40485,"13837","7218063052","TONYS",1,1,0,10
6.99,4.99,40436,"24991","7192100339","TOMBSTONE",0,0,1,63
3.18,3.18,39869,"19523","1111087395","PRIVATE LABEL",0,0,0,20
7.49,7.49,40891,"23067","7218063052","TONYS",0,0,0,2
3.96,3.96,39911,"11757","1111087396","PRIVATE LABEL",0,0,0,10
6.59,6.59,40163,"23327","7192100337","TOMBSTONE",0,0,0,9
3.26,3.26,40093,"25233","1111087398","PRIVATE LABEL",0,0,0,9
4,4,40877,"23055","1111087398","PRIVATE LABEL",0,0,0,6
6.38,4.99,40107,"387","7218063052","TONYS",0,1,0,29
3.96,3.96,39981,"367","1111087398","PRIVATE LABEL",0,0,0,9
6.59,6.59,40653,"15765","7192100339","TOMBSTONE",0,0,0,13
3.91,3.33,40464,"6179","1111087398","PRIVATE LABEL",0,0,1,2
6.59,6.59,40226,"29159","7192100336","TOMBSTONE",0,0,0,9
4,4,39960,"28909","1111087398","PRIVATE LABEL",0,0,0,3
4,4,40828,"26973","1111087395","PRIVATE LABEL",0,0,0,8
7.29,6.49,40093,"2495","7218063983","TONYS",0,0,1,2
3.34,2.81,40240,"23349","1111087396","PRIVATE LABEL",0,0,1,19
5.99,5.99,40555,"23061","2066200530","KING",0,0,0,2
6.49,4.99,40793,"19265","2066200530","KING",0,0,1,10
3.97,3.97,40653,"367","1111087396","PRIVATE LABEL",0,0,0,4
6.02,6.02,40849,"2513","2066200530","KING",0,0,0,17
5.27,5.27,40898,"25261","7192100337","TOMBSTONE",0,0,0,19
6.99,6.99,40912,"23349","2066200532","KING",0,0,0,1
6.29,6.29,39925,"23075","7192100339","TOMBSTONE",0,0,0,21
6.59,5.64,40779,"24991","7192100336","TOMBSTONE",0,0,1,14
6.79,5.27,40709,"21485","7192100336","TOMBSTONE",1,1,0,6
3.94,3.94,40779,"13609","1111087398","PRIVATE LABEL",0,0,0,18
3.34,3.34,39953,"23345","1111087395","PRIVATE LABEL",0,0,0,3
6.99,4.53,40268,"26983","7192100336","TOMBSTONE",0,1,0,45
6.99,4.99,40352,"21237","7192100337","TOMBSTONE",1,1,0,41
6.99,6.99,40233,"11757","7192100336","TOMBSTONE",0,0,0,5
6.59,6.59,40023,"2513","7192100339","TOMBSTONE",0,0,0,19
6.46,4.99,39862,"6187","7218063979","TONYS",0,0,1,17
5.27,5.27,40877,"17615","7192100339","TOMBSTONE",1,1,0,24
6.29,6.29,39932,"15531","7192100337","TOMBSTONE",0,0,0,7
4.31,3.87,40380,"11761","1111087398","PRIVATE LABEL",0,0,1,14
6.59,6.59,40359,"10019","7192100337","TOMBSTONE",0,0,0,1
6.79,4.99,39855,"6379","7218063983","TONYS",1,1,0,20
6.49,6.49,40303,"12011","2066200530","KING",0,0,0,2
7.19,7.19,40604,"23061","7192100337","TOMBSTONE",0,0,0,8
5.99,5.99,40457,"6187","2066200530","KING",0,0,0,8
5.29,5.29,40583,"9825","1111087395","PRIVATE LABEL",0,0,0,1
5.8,5.22,40912,"8035","7192100339","TOMBSTONE",0,1,0,11
3.21,2.93,40184,"13827","1111087396","PRIVATE LABEL",1,1,0,45
7.49,4.99,40828,"11757","7218063983","TONYS",1,1,0,12
6.79,4.49,39897,"21479","7218063052","TONYS",0,1,0,9
6.59,5.64,40779,"25021","7192100339","TOMBSTONE",0,0,1,19
4,4,39995,"13609","1111087396","PRIVATE LABEL",0,0,0,6
6.49,6.49,40786,"29159","2066200530","KING",1,0,0,11
3.28,3.28,40394,"6379","1111087395","PRIVATE LABEL",0,0,0,12
6.79,6.79,39848,"4489","7218063052","TONYS",0,0,0,3
6.59,4.77,40443,"2505","7192100336","TOMBSTONE",1,1,0,24
7.29,7.29,40429,"11993","7218063052","TONYS",0,0,0,4
4.5,4.5,40093,"26983","1111087395","PRIVATE LABEL",0,0,0,2
6.59,6.59,40646,"2523","7192100336","TOMBSTONE",1,0,0,8
3.7,3.7,40772,"11967","1111087396","PRIVATE LABEL",0,0,0,3
6.99,6.99,40156,"23061","7192100336","TOMBSTONE",0,0,0,6
6.89,6.89,40065,"15531","7218063052","TONYS",0,0,0,1
5.8,5.8,40884,"2523","7192100339","TOMBSTONE",0,0,0,21
6.49,6.49,40317,"25261","7218063052","TONYS",0,0,0,4
6.99,4.77,40443,"26983","7192100339","TOMBSTONE",0,1,0,25
7.13,7.13,40408,"19533","7218063052","TONYS",0,0,0,5
6.89,6.89,40443,"23075","7218063052","TONYS",0,0,0,8
4,4,40814,"21221","1111087398","PRIVATE LABEL",0,0,0,10
6.99,6.99,40387,"26973","7192100336","TOMBSTONE",0,0,0,2
6.49,4.99,40800,"13827","2066200532","KING",0,0,1,13
6.99,6.99,40394,"26981","7192100339","TOMBSTONE",0,0,0,4
5.99,5.99,40821,"613","2066200530","KING",0,0,0,5
6.59,6.59,40499,"2541","7192100336","TOMBSTONE",0,0,0,3
7.29,4.99,40562,"19523","7218063983","TONYS",0,1,0,3
6.59,4.99,40436,"2541","7192100336","TOMBSTONE",0,0,1,6
3.79,3.34,40737,"15755","1111087396","PRIVATE LABEL",1,0,0,20
5.99,5.99,40604,"25229","2066200530","KING",0,0,0,19
4.79,4.79,40296,"23067","1111087398","PRIVATE LABEL",0,0,0,4
5.8,5.8,40884,"19533","7192100339","TOMBSTONE",0,0,0,24
7.29,5.19,40478,"2523","7218063979","TONYS",0,1,0,4
6.99,6.99,40282,"25021","7192100337","TOMBSTONE",0,0,0,13
6.59,5.77,40709,"13609","7192100337","TOMBSTONE",1,1,0,36
6.59,4.52,40079,"17599","7192100337","TOMBSTONE",1,1,0,47
6.99,6.99,40562,"23061","7192100336","TOMBSTONE",0,0,0,4
6.79,4.49,39883,"13853","7218063052","TONYS",1,1,0,28
3.17,3.17,40359,"19523","1111087395","PRIVATE LABEL",0,0,0,6
3.66,3.66,40779,"6379","1111087395","PRIVATE LABEL",0,0,0,19
6.99,4.99,40429,"26973","7192100337","TOMBSTONE",0,0,1,15
5.99,5.99,40751,"2277","2066200532","KING",0,0,0,6
6.29,6.29,40317,"26973","7218063052","TONYS",0,0,0,4
7.09,7.09,40618,"15541","7218063979","TONYS",0,0,0,1
7.89,7.89,40744,"2541","7218063983","TONYS",0,0,0,2
3.98,3.98,39890,"2279","1111087398","PRIVATE LABEL",0,0,0,21
6.99,6.99,40184,"4259","7192100339","TOMBSTONE",0,0,0,12
6.59,6.59,40317,"27175","7192100339","TOMBSTONE",0,0,0,8
4.72,4.72,40065,"28909","1111087396","PRIVATE LABEL",0,0,0,6
3.66,3.66,40849,"6431","1111087398","PRIVATE LABEL",0,0,0,12
3.34,3.34,40611,"19521","1111087396","PRIVATE LABEL",0,0,0,1
3.89,3.89,40779,"25001","1111087395","PRIVATE LABEL",0,0,0,29
7.29,4.49,40527,"19533","7218063979","TONYS",1,0,0,21
6.99,6.99,40499,"26981","7192100337","TOMBSTONE",0,0,0,4
6.59,5.53,40142,"11993","7192100337","TOMBSTONE",1,1,0,28
4.89,4.89,40128,"6187","1111087396","PRIVATE LABEL",0,0,0,2
3.86,3.86,40898,"21213","1111087395","PRIVATE LABEL",0,0,0,10
7.29,7.29,40471,"21485","7218063052","TONYS",0,0,0,4
5.29,3.25,40604,"8041","1111087395","PRIVATE LABEL",0,0,1,4
5.99,5.99,40429,"15765","2066200532","KING",0,0,0,2
6.59,6.59,40478,"15763","7192100337","TOMBSTONE",0,0,0,3
3.19,3.19,39974,"21479","1111087398","PRIVATE LABEL",0,0,0,14
3.05,3.05,40513,"10019","1111087395","PRIVATE LABEL",0,0,0,6
6.59,6.59,40296,"6431","7192100336","TOMBSTONE",0,0,0,4
3.22,3.22,40051,"6431","1111087396","PRIVATE LABEL",0,0,0,18
6.59,4.55,40247,"11993","7192100337","TOMBSTONE",1,1,0,55
6.79,4.99,40737,"13859","7192100336","TOMBSTONE",1,1,0,6
3.95,3.95,40037,"9825","1111087398","PRIVATE LABEL",0,0,0,15
6.99,6.99,40065,"26973","7192100337","TOMBSTONE",0,0,0,14
4.64,4.64,40135,"23061","1111087398","PRIVATE LABEL",0,0,0,5
4.65,4.65,40121,"2281","1111087398","PRIVATE LABEL",0,0,0,4
5.99,5.99,40632,"6179","2066200530","KING",0,0,0,8
6.59,6.59,40233,"2523","7192100336","TOMBSTONE",0,0,0,5
6.59,6.59,39995,"25261","7192100336","TOMBSTONE",1,0,0,5
6.49,6.49,40261,"6379","2066200531","KING",0,0,0,2
5.27,5.27,40863,"21479","7192100339","TOMBSTONE",0,0,0,7
6.49,6.49,40863,"23349","2066200532","KING",0,0,0,3
6.99,6.99,40226,"9825","7192100336","TOMBSTONE",0,0,0,5
6.59,5.64,40779,"13609","7192100337","TOMBSTONE",0,0,1,13
6.29,6.29,39995,"24991","7192100337","TOMBSTONE",0,0,0,18
6.59,6.59,40723,"4259","7192100336","TOMBSTONE",0,0,0,2
3.87,3.32,39848,"9825","1111087396","PRIVATE LABEL",1,0,0,29
5.29,3.33,40604,"26983","1111087398","PRIVATE LABEL",1,0,0,34
7.19,7.19,40653,"367","7192100336","TOMBSTONE",0,0,0,2
6.99,4.99,40408,"21237","7192100337","TOMBSTONE",1,1,0,52
6.99,4.99,40415,"4259","7192100339","TOMBSTONE",0,1,0,29
6.49,6.49,40128,"17627","7218063052","TONYS",0,0,0,9
7.29,6.49,40079,"15763","7218063983","TONYS",0,0,1,2
7.39,7.39,40723,"6187","7218063979","TONYS",0,0,0,2
6.89,6.89,40506,"11757","7218063983","TONYS",0,0,0,1
6.49,6.49,40702,"11993","2066200532","KING",0,0,0,7
6.99,6.99,40282,"23061","7192100337","TOMBSTONE",0,0,0,11
3,3,40513,"613","1111087396","PRIVATE LABEL",0,0,0,11
5.99,5.99,40695,"23327","2066200532","KING",0,0,0,1
6.41,6.41,40016,"13827","7192100336","TOMBSTONE",0,0,0,9
6.59,6.59,40394,"19523","7192100339","TOMBSTONE",0,0,0,10
7.49,7.49,40884,"21479","7218063979","TONYS",0,0,0,1
3.25,3.25,40499,"11757","1111087398","PRIVATE LABEL",0,0,0,12
6.59,5.79,40709,"26973","7192100339","TOMBSTONE",1,1,0,41
6.49,5.82,40807,"13859","2066200530","KING",0,0,1,6
6.89,6.89,40471,"26973","7218063979","TONYS",0,0,0,3
3.73,3.73,40786,"13859","1111087396","PRIVATE LABEL",0,0,0,2
7.09,4.7,40674,"6187","7218063052","TONYS",1,1,0,47
3.15,3.15,40331,"13827","1111087398","PRIVATE LABEL",0,0,0,11
4.11,4.11,39974,"15541","1111087398","PRIVATE LABEL",0,0,0,12
3.94,3.94,40828,"389","1111087395","PRIVATE LABEL",0,0,0,7
3.17,3.17,39918,"2513","1111087396","PRIVATE LABEL",0,0,0,2
3.67,3.67,40709,"613","1111087398","PRIVATE LABEL",0,0,0,18
6.89,6.89,40604,"25001","7218063052","TONYS",0,0,0,1
5.27,5.27,40898,"17615","7192100337","TOMBSTONE",0,0,0,10
3.82,3.82,40807,"389","1111087396","PRIVATE LABEL",0,0,0,9
6.59,6.59,40324,"12011","7192100337","TOMBSTONE",0,0,0,3
6.59,4.71,40100,"13859","7192100337","TOMBSTONE",0,0,1,9
6.59,6.59,40184,"623","7192100337","TOMBSTONE",0,0,0,14
6.59,6.59,40569,"15763","7192100337","TOMBSTONE",0,0,0,1
5.8,5.06,40912,"23075","7192100336","TOMBSTONE",1,1,0,26
6.59,6.59,40394,"21479","7192100336","TOMBSTONE",0,0,0,5
3.12,3.12,40289,"6379","1111087396","PRIVATE LABEL",0,0,0,11
6.59,6.59,40324,"23327","7192100339","TOMBSTONE",0,0,0,2
5.29,4,40716,"15541","1111087395","PRIVATE LABEL",0,0,1,3
4.89,4.89,40114,"367","1111087398","PRIVATE LABEL",0,0,0,3
3.23,3.23,39855,"19523","1111087398","PRIVATE LABEL",0,0,0,22
3.25,3.25,40121,"19521","1111087398","PRIVATE LABEL",0,0,0,4
6.59,4.92,40611,"13859","7192100336","TOMBSTONE",1,1,0,24
6.89,6.89,40387,"28909","7218063052","TONYS",0,0,0,4
6.89,6.89,40548,"15547","7218063052","TONYS",0,0,0,1
3.2,3.2,40436,"13853","1111087395","PRIVATE LABEL",0,0,0,11
6.59,6.59,40590,"10019","7192100337","TOMBSTONE",0,0,0,2
7.49,7.49,40884,"11967","7218063979","TONYS",0,0,0,1
3.33,3.33,39967,"13827","1111087396","PRIVATE LABEL",0,0,0,14
6.59,6.59,40366,"4489","7192100339","TOMBSTONE",0,0,0,10
7.29,4.49,40485,"17627","7218063979","TONYS",1,1,0,18
3.29,3.29,40870,"25233","1111087396","PRIVATE LABEL",0,0,0,13
3.24,3.24,40135,"10019","1111087398","PRIVATE LABEL",0,0,0,11
3.74,3.32,40737,"12011","1111087396","PRIVATE LABEL",1,0,0,39
6.49,6.49,40786,"27175","2066200530","KING",0,0,0,5
6.59,6.59,40163,"2495","7192100339","TOMBSTONE",0,0,0,21
7.29,7.29,40576,"25229","7218063052","TONYS",0,0,0,4
6.59,4.82,40443,"19523","7192100339","TOMBSTONE",1,1,0,43
6.59,4.55,40247,"4521","7192100339","TOMBSTONE",0,1,0,26
4.75,4.75,40303,"25021","1111087396","PRIVATE LABEL",0,0,0,12
3.29,3.29,40030,"2541","1111087398","PRIVATE LABEL",0,0,0,7
4,4,40016,"21227","1111087395","PRIVATE LABEL",0,0,0,4
5.79,5.79,40373,"25001","7218063979","TONYS",0,0,0,2
6.79,6.79,39960,"23327","7218063052","TONYS",0,0,0,4
6.89,6.89,39876,"21227","7218063052","TONYS",0,0,0,5
3.16,3.16,40492,"6431","1111087398","PRIVATE LABEL",0,0,0,11
6.29,6.29,40331,"2281","7218063983","TONYS",0,0,0,12
6.59,4.99,39960,"25253","7192100337","TOMBSTONE",0,1,0,14
3.97,3.97,40772,"26983","1111087395","PRIVATE LABEL",0,0,0,14
5.27,5.27,40898,"13837","7192100339","TOMBSTONE",0,0,0,13
3.95,3.95,40800,"23061","1111087398","PRIVATE LABEL",0,0,0,21
5.79,5.79,40366,"4245","7218063052","TONYS",0,0,0,2
6.99,6.99,40121,"21227","7192100336","TOMBSTONE",0,0,0,7
7.09,4.78,40681,"9825","7218063052","TONYS",1,1,0,48
6.79,4.99,40065,"2505","7218063983","TONYS",0,0,1,1
6.59,4.49,40471,"23327","7192100336","TOMBSTONE",1,1,0,41
6.89,4.69,40569,"26981","7218063983","TONYS",1,1,0,4
4,3.33,40457,"8035","1111087395","PRIVATE LABEL",0,0,1,17
5.99,5.99,39897,"19265","7192100336","TOMBSTONE",1,0,0,11
6.59,6.59,40310,"10019","7192100337","TOMBSTONE",0,0,0,2
6.38,6.38,40023,"26983","7218063052","TONYS",0,0,0,2
5.27,5.27,40835,"25233","7192100336","TOMBSTONE",0,0,0,5
3.76,3.76,40891,"24991","1111087398","PRIVATE LABEL",0,0,0,18
6.59,4.99,40415,"2495","7192100336","TOMBSTONE",1,1,0,16
5.49,5.49,40793,"25261","7192100337","TOMBSTONE",0,0,0,13
6.89,6.89,40408,"19265","7218063052","TONYS",0,0,0,2
6.59,6.59,40037,"4521","7192100339","TOMBSTONE",0,0,0,9
3.98,3.98,40849,"25027","1111087398","PRIVATE LABEL",0,0,0,25
3.89,3.89,40856,"15541","1111087396","PRIVATE LABEL",0,0,0,7
3.16,3.16,40135,"6431","1111087396","PRIVATE LABEL",0,0,0,12
6.59,6.59,40275,"27175","7192100337","TOMBSTONE",0,0,0,6
